"expr","min","lq","mean","median","uq","max","neval"
"Factorial_loop(0)",242,258,167334.57,276,293.5,16704246,100
"Factorial_reduce(0)",2242,2305,39360.36,2371.5,2566,3524508,100
"Factorial_func(0)",201,215.5,19777.13,242,265,1949383,100
"Factorial_mem(0)",208,222,37023.25,237,255,3674957,100
"Factorial_loop(15)",724,768,833.49,822.5,851.5,2295,100
"Factorial_reduce(1:15)",11381,11711.5,12156.3,11850,12001,25590,100
"Factorial_func(15)",537,573,767.99,615,652.5,15159,100
"Factorial_mem(15)",523,561,783.23,594,637,18086,100
"Factorial_loop(50)",1341,1417.5,1483.76,1461,1515,2915,100
"Factorial_reduce(1:50)",31517,31909.5,32618.22,32156,32696.5,46444,100
"Factorial_func(50)",552,612,695.17,683,733,2454,100
"Factorial_mem(50)",514,552,958,606.5,669.5,34624,100
